date,value
01/11/20,1
31/10/20,1
30/10/20,1
29/10/20,1
27/10/20,1
26/10/20,1
25/10/20,1
24/10/20,1
23/10/20,1
22/10/20,1
21/10/20,1
20/10/20,1
17/10/20,1
16/10/20,1
15/10/20,1
14/10/20,1
13/10/20,1
12/10/20,1
11/10/20,1
10/10/20,1
09/10/20,1
08/10/20,1
07/10/20,1
06/10/20,1
05/10/20,1
04/10/20,1
03/10/20,1
02/10/20,1
01/10/20,1
10/09/20,1
09/09/20,2
08/09/20,2
07/09/20,2
06/09/20,2
05/09/20,2
04/09/20,2
03/09/20,2
02/09/20,2
01/09/20,2
31/08/20,2
30/08/20,2
29/08/20,2
28/08/20,2
27/08/20,2
26/08/20,2
25/08/20,1
24/08/20,3
23/08/20,2
22/08/20,1
21/08/20,3
20/08/20,1
19/08/20,2
18/08/20,5
17/08/20,7
16/08/20,2
15/08/20,2
14/08/20,2
13/08/20,3
12/08/20,4
11/08/20,7
10/08/20,7
09/08/20,2
08/08/20,2
07/08/20,2
06/08/20,4
05/08/20,3
04/08/20,3
03/08/20,2
02/08/20,2
01/08/20,1
31/07/20,10
30/07/20,4
29/07/20,9
28/07/20,13
27/07/20,10
26/07/20,3
25/07/20,4
24/07/20,7
23/07/20,7
22/07/20,11
21/07/20,7
20/07/20,3
19/07/20,2
18/07/20,2
17/07/20,7
16/07/20,3
15/07/20,18
14/07/20,22
13/07/20,13
12/07/20,3
11/07/20,4
10/07/20,11
09/07/20,9
08/07/20,13
07/07/20,9
06/07/20,10
05/07/20,2
04/07/20,2
03/07/20,5
02/07/20,28
01/07/20,5
30/06/20,3
29/06/20,2
28/06/20,1
27/06/20,4
26/06/20,5
25/06/20,9
24/06/20,16
23/06/20,10
22/06/20,39
21/06/20,3
20/06/20,2
19/06/20,4
18/06/20,9
17/06/20,16
16/06/20,3
15/06/20,12
14/06/20,2
13/06/20,2
12/06/20,7
11/06/20,8
10/06/20,22
09/06/20,4
08/06/20,20
07/06/20,2
06/06/20,5
05/06/20,7
04/06/20,6
03/06/20,19
02/06/20,19
01/06/20,11
31/05/20,3
30/05/20,2
29/05/20,6
28/05/20,12
27/05/20,4
26/05/20,6
25/05/20,1
24/05/20,6
23/05/20,2
22/05/20,15
21/05/20,5
20/05/20,5
19/05/20,3
18/05/20,10
16/05/20,3
15/05/20,8
14/05/20,2
13/05/20,10
12/05/20,2
11/05/20,7
08/05/20,1
07/05/20,6
06/05/20,10
04/05/20,8
02/05/20,2
01/05/20,2
30/04/20,3
28/04/20,1
27/04/20,6
26/04/20,1
24/04/20,3
23/04/20,13
22/04/20,7
21/04/20,7
17/04/20,5
16/04/20,2
14/04/20,1
13/04/20,4
10/04/20,13
08/04/20,1
07/04/20,2
03/04/20,2
02/04/20,1
01/04/20,5
31/03/20,35
19/03/20,2
01/03/20,4
09/02/20,1
24/01/20,15
13/01/20,5
18/12/19,2
04/12/19,1
07/10/19,1
03/10/19,1
01/10/19,1
30/09/19,2
27/09/19,1
26/09/19,1
25/09/19,1
24/09/19,2
23/09/19,1
21/09/19,1
20/09/19,2
19/09/19,1
18/09/19,1
17/09/19,1
16/09/19,1
15/09/19,1
14/09/19,1
13/09/19,1
12/09/19,2
11/09/19,3
10/09/19,6
09/09/19,1
08/09/19,1
07/09/19,1
06/09/19,1
03/09/19,6
29/08/19,2
27/08/19,3
21/08/19,5
