area,Available Water Capacity,Aggregate Stability,Organic Matter,ACE Soil Protein Index,Soil Respiration,Active Carbon,Soil pH,Extractable Potassium,Minor Elements,Overall Quality Score
Middle Bay,99,99,99,91,99,95,29,100,56,87
East Bay,99,99,99,80,99,94,63,100,56,89
Pote Pastures,98,97,98,75,77,48,31,100,56,78
Watkins,98,99,98,71,82,77,94,82,100,90
Banter,99,99,99,85,86,69,100,79,100,92
Heart,99,99,99,68,93,44,28,86,56,77
Back Fogg,98,99,99,92,96,87,56,84,56,87
Ward,99,99,99,87,96,86,55,91,56,87
Fogg1,98,99,99,92,96,87,56,84,56,87
West Brocklebank,99,99,99,99,98,99,80,99,56,93
Ricker,99,99,99,70,86,87,100,90,100,93
Ropes,99,99,99,89,90,91,68,95,100,93
